date,gtrends_volume,is_partial
2020-11-29,8,False
2020-12-06,10,False
2020-12-13,31,False
2020-12-20,36,False
2020-12-27,50,False
2021-01-03,37,False
2021-01-10,32,False
2021-01-17,73,False
2021-01-24,50,False
2021-01-31,79,False
2021-02-07,98,False
2021-02-14,100,False
2021-02-21,46,False
2021-02-28,33,False
2021-03-07,24,False
2021-03-14,21,False
2021-03-21,16,False
2021-03-28,15,False
2021-04-04,15,False
2021-04-11,11,False
2021-04-18,9,False
2021-04-25,8,False
2021-05-02,7,False
2021-05-09,12,False
2021-05-16,9,False
2021-05-23,14,False
2021-05-30,34,False
2021-06-06,31,False
2021-06-13,22,False
2021-06-20,14,False
2021-06-27,11,False
2021-07-04,8,False
2021-07-11,8,False
2021-07-18,8,False
2021-07-25,7,False
2021-08-01,5,False
2021-08-08,5,False
2021-08-15,4,False
2021-08-22,4,False
2021-08-29,4,False
2021-09-05,4,False
2021-09-12,3,False
2021-09-19,3,False
2021-09-26,3,False
