date,gtrends_volume,is_partial
2016-11-01,0,False
2016-11-02,0,False
2016-11-03,0,False
2016-11-04,0,False
2016-11-05,0,False
2016-11-06,0,False
2016-11-07,0,False
2016-11-08,13,False
2016-11-09,40,False
2016-11-10,36,False
2016-11-11,48,False
2016-11-12,73,False
2016-11-13,69,False
2016-11-14,83,False
2016-11-15,81,False
2016-11-16,92,False
2016-11-17,81,False
2016-11-18,89,False
2016-11-19,81,False
2016-11-20,81,False
2016-11-21,79,False
2016-11-22,71,False
2016-11-23,93,False
2016-11-24,91,False
2016-11-25,89,False
2016-11-26,69,False
2016-11-27,66,False
2016-11-28,80,False
2016-11-29,71,False
2016-11-30,56,False
2016-12-01,70,False
2016-12-02,83,False
2016-12-03,72,False
2016-12-04,78,False
2016-12-05,72,False
2016-12-06,68,False
2016-12-07,68,False
2016-12-08,78,False
2016-12-09,74,False
2016-12-10,52,False
2016-12-11,63,False
2016-12-12,69,False
2016-12-13,81,False
2016-12-14,98,False
2016-12-15,90,False
2016-12-16,97,False
2016-12-17,76,False
2016-12-18,94,False
2016-12-19,100,False
2016-12-20,98,False
2016-12-21,100,False
2016-12-22,80,False
2016-12-23,74,False
2016-12-24,61,False
2016-12-25,59,False
2016-12-26,69,False
2016-12-27,76,False
2016-12-28,75,False
2016-12-29,77,False
2016-12-30,80,False
2016-12-31,61,False
2017-01-01,60,False
2017-01-02,75,False
2017-01-03,78,False
2017-01-04,68,False
2017-01-05,65,False
2017-01-06,61,False
2017-01-07,62,False
2017-01-08,67,False
2017-01-09,66,False
2017-01-10,70,False
2017-01-11,69,False
2017-01-12,63,False
2017-01-13,51,False
2017-01-14,58,False
2017-01-15,50,False
2017-01-16,76,False
2017-01-17,59,False
2017-01-18,67,False
2017-01-19,59,False
2017-01-20,44,False
2017-01-21,44,False
2017-01-22,45,False
2017-01-23,48,False
2017-01-24,51,False
2017-01-25,41,False
2017-01-26,41,False
2017-01-27,47,False
2017-01-28,48,False
2017-01-29,38,False
2017-01-30,57,False
2017-01-31,45,False
2017-02-01,40,False
2017-02-02,47,False
2017-02-03,39,False
2017-02-04,34,False
2017-02-05,31,False
2017-02-06,37,False
2017-02-07,42,False
2017-02-08,36,False
2017-02-09,30,False
2017-02-10,38,False
2017-02-11,28,False
2017-02-12,38,False
2017-02-13,33,False
2017-02-14,32,False
2017-02-15,40,False
2017-02-16,31,False
2017-02-17,46,False
2017-02-18,30,False
2017-02-19,30,False
2017-02-20,32,False
2017-02-21,43,False
2017-02-22,35,False
2017-02-23,23,False
2017-02-24,15,False
2017-02-25,30,False
2017-02-26,33,False
2017-02-27,34,False
2017-02-28,36,False
