date,gtrends_volume,is_partial
2023-08-15,0,False
2023-08-16,0,False
2023-08-17,2,False
2023-08-18,6,False
2023-08-19,7,False
2023-08-20,8,False
2023-08-21,17,False
2023-08-22,28,False
2023-08-23,32,False
2023-08-24,30,False
2023-08-25,31,False
2023-08-26,29,False
2023-08-27,37,False
2023-08-28,41,False
2023-08-29,35,False
2023-08-30,32,False
2023-08-31,43,False
2023-09-01,48,False
2023-09-02,33,False
2023-09-03,48,False
2023-09-04,63,False
2023-09-05,73,False
2023-09-06,83,False
2023-09-07,89,False
2023-09-08,100,False
2023-09-09,87,False
2023-09-10,49,False
2023-09-11,25,False
2023-09-12,14,False
2023-09-13,9,False
2023-09-14,5,False
2023-09-15,5,False
2023-09-16,4,False
2023-09-17,4,False
2023-09-18,4,False
2023-09-19,4,False
2023-09-20,2,False
2023-09-21,3,False
2023-09-22,2,False
2023-09-23,2,False
2023-09-24,2,False
2023-09-25,3,False
2023-09-26,0,False
2023-09-27,2,False
2023-09-28,2,False
2023-09-29,2,False
2023-09-30,2,False
