date,gtrends_volume,is_partial
2023-08-15,2,False
2023-08-16,2,False
2023-08-17,2,False
2023-08-18,1,False
2023-08-19,2,False
2023-08-20,2,False
2023-08-21,2,False
2023-08-22,2,False
2023-08-23,2,False
2023-08-24,2,False
2023-08-25,2,False
2023-08-26,3,False
2023-08-27,3,False
2023-08-28,3,False
2023-08-29,3,False
2023-08-30,3,False
2023-08-31,7,False
2023-09-01,8,False
2023-09-02,8,False
2023-09-03,8,False
2023-09-04,6,False
2023-09-05,9,False
2023-09-06,14,False
2023-09-07,100,False
2023-09-08,84,False
2023-09-09,74,False
2023-09-10,65,False
2023-09-11,43,False
2023-09-12,35,False
2023-09-13,35,False
2023-09-14,29,False
2023-09-15,28,False
2023-09-16,35,False
2023-09-17,33,False
2023-09-18,28,False
2023-09-19,23,False
2023-09-20,20,False
2023-09-21,18,False
2023-09-22,15,False
2023-09-23,19,False
2023-09-24,18,False
2023-09-25,14,False
2023-09-26,13,False
2023-09-27,12,False
2023-09-28,14,False
2023-09-29,13,False
2023-09-30,14,False
2023-10-01,18,False
2023-10-02,13,False
2023-10-03,9,False
2023-10-04,9,False
2023-10-05,9,False
2023-10-06,9,False
2023-10-07,10,False
2023-10-08,9,False
2023-10-09,8,False
2023-10-10,6,False
2023-10-11,6,False
2023-10-12,6,False
2023-10-13,8,False
2023-10-14,7,False
2023-10-15,9,False
2023-10-16,5,False
2023-10-17,5,False
2023-10-18,6,False
2023-10-19,6,False
2023-10-20,7,False
2023-10-21,8,False
2023-10-22,8,False
2023-10-23,7,False
2023-10-24,7,False
2023-10-25,5,False
2023-10-26,5,False
2023-10-27,5,False
2023-10-28,6,False
2023-10-29,6,False
2023-10-30,5,False
2023-10-31,5,False
2023-11-01,6,False
2023-11-02,11,False
2023-11-03,10,False
2023-11-04,10,False
2023-11-05,9,False
2023-11-06,6,False
2023-11-07,6,False
2023-11-08,7,False
2023-11-09,5,False
2023-11-10,6,False
2023-11-11,6,False
2023-11-12,6,False
2023-11-13,9,False
2023-11-14,8,False
2023-11-15,4,False
2023-11-16,4,False
2023-11-17,6,False
2023-11-18,6,False
2023-11-19,3,False
2023-11-20,4,False
2023-11-21,4,False
2023-11-22,3,False
2023-11-23,3,False
2023-11-24,3,False
2023-11-25,4,False
2023-11-26,4,False
2023-11-27,3,False
2023-11-28,2,False
2023-11-29,3,False
2023-11-30,3,False
