date,gtrends_volume,is_partial
2020-12-27,42,False
2021-01-03,45,False
2021-01-10,48,False
2021-01-17,50,False
2021-01-24,51,False
2021-01-31,50,False
2021-02-07,48,False
2021-02-14,48,False
2021-02-21,51,False
2021-02-28,52,False
2021-03-07,53,False
2021-03-14,55,False
2021-03-21,60,False
2021-03-28,64,False
2021-04-04,67,False
2021-04-11,67,False
2021-04-18,65,False
2021-04-25,67,False
2021-05-02,67,False
2021-05-09,66,False
2021-05-16,70,False
2021-05-23,70,False
2021-05-30,77,False
2021-06-06,72,False
2021-06-13,71,False
2021-06-20,70,False
2021-06-27,70,False
2021-07-04,69,False
2021-07-11,73,False
2021-07-18,70,False
2021-07-25,64,False
2021-08-01,61,False
2021-08-08,61,False
2021-08-15,58,False
2021-08-22,63,False
2021-08-29,61,False
2021-09-05,62,False
2021-09-12,65,False
2021-09-19,66,False
2021-09-26,64,False
2021-10-03,68,False
2021-10-10,65,False
2021-10-17,63,False
2021-10-24,58,False
2021-10-31,59,False
2021-11-07,69,False
2021-11-14,71,False
2021-11-21,70,False
2021-11-28,63,False
2021-12-05,59,False
2021-12-12,54,False
2021-12-19,47,False
2021-12-26,55,False
2022-01-02,65,False
2022-01-09,65,False
2022-01-16,61,False
2022-01-23,65,False
2022-01-30,70,False
2022-02-06,67,False
2022-02-13,67,False
2022-02-20,68,False
2022-02-27,69,False
2022-03-06,70,False
2022-03-13,75,False
2022-03-20,76,False
2022-03-27,72,False
2022-04-03,81,False
2022-04-10,81,False
2022-04-17,81,False
2022-04-24,81,False
2022-05-01,84,False
2022-05-08,90,False
2022-05-15,99,False
2022-05-22,94,False
2022-05-29,97,False
2022-06-05,95,False
2022-06-12,92,False
2022-06-19,94,False
2022-06-26,93,False
2022-07-03,89,False
2022-07-10,86,False
2022-07-17,87,False
2022-07-24,84,False
2022-07-31,87,False
2022-08-07,81,False
2022-08-14,88,False
2022-08-21,79,False
2022-08-28,83,False
2022-09-04,78,False
2022-09-11,76,False
2022-09-18,81,False
2022-09-25,83,False
2022-10-02,85,False
2022-10-09,81,False
2022-10-16,84,False
2022-10-23,79,False
2022-10-30,77,False
2022-11-06,90,False
2022-11-13,98,False
2022-11-20,100,False
2022-11-27,86,False
2022-12-04,81,False
2022-12-11,79,False
2022-12-18,64,False
2022-12-25,74,False
2023-01-01,77,False
